name,date_iso
v0.1.0,2009-01-09T00:00:01Z
v0.1.5,2009-09-16T13:26:04Z
v0.1.6test1,2009-11-08T04:24:52Z
v0.2.0,2009-12-14T02:12:01Z
v0.2rc2,2009-12-14T02:12:01Z
v0.2.2,2010-02-17T17:22:01Z
v0.2.4,2010-02-20T21:59:59Z
v0.2.5,2010-02-21T21:42:01Z
v0.2.6,2010-02-23T22:01:39Z
v0.2.7,2010-02-25T21:55:27Z
v0.2.8,2010-05-19T00:26:56Z
v0.2.9,2010-05-26T00:05:26Z
v0.2.10,2010-06-10T23:10:30Z
v0.2.11,2010-06-15T18:26:32Z
v0.2.12,2010-06-18T03:14:24Z
v0.2.13,2010-06-21T01:33:44Z
v0.3rc1,2010-06-22T17:59:00Z
v0.3rc2,2010-06-26T15:47:45Z
v0.3rc4,2010-07-02T23:43:29Z
v0.3.0,2010-07-04T06:15:06Z
v0.3.1rc1,2010-07-19T01:02:04Z
v0.3.1,2010-07-19T01:10:37Z
v0.3.2,2010-07-19T01:12:24Z
v0.3.3,2010-07-26T17:40:05Z
v0.3.6,2010-07-30T17:36:06Z
v0.3.7,2010-07-31T20:12:05Z
v0.3.8,2010-08-04T01:51:34Z
v0.3.10,2010-08-15T22:46:58Z
v0.3.11_notexact,2010-08-28T00:55:50Z
v0.3.12,2010-09-07T01:12:53Z
v0.3.13,2010-09-30T23:54:15Z
v0.3.14,2010-10-21T16:47:16Z
v0.3.15,2010-11-14T00:06:10Z
v0.3.17,2010-11-25T20:41:57Z
v0.3.18,2010-12-08T23:23:48Z
v0.3.19,2010-12-13T16:26:14Z
v0.3.20.01_closest,2011-02-18T15:39:24Z
v0.3.20.2_closest,2011-02-18T15:39:24Z
v0.3.20,2011-02-21T17:33:41Z
v0.3.20.2,2011-03-04T14:48:45Z
v0.3.21rc,2011-04-20T19:01:07Z
v0.3.21,2011-04-27T16:01:59Z
v0.3.22rc1,2011-05-17T05:37:27Z
v0.3.22rc2,2011-05-17T05:38:32Z
v0.3.22rc3,2011-05-21T00:56:40Z
v0.3.22rc4,2011-05-24T23:41:35Z
v0.3.22rc5,2011-05-27T00:31:22Z
v0.3.22rc6,2011-05-31T16:38:03Z
v0.3.22,2011-06-04T23:15:39Z
v0.3.23rc1,2011-06-12T04:10:56Z
v0.3.23,2011-06-13T23:34:16Z
v0.3.24rc1,2011-07-02T20:59:57Z
v0.3.24rc2,2011-07-05T02:43:15Z
v0.3.24rc3,2011-07-05T21:12:34Z
v0.3.24,2011-07-08T17:39:50Z
v0.4.00rc1,2011-09-02T17:35:19Z
v0.4.00rc2,2011-09-09T13:53:15Z
v0.4.0,2011-09-22T20:57:45Z
v0.5.0rc1,2011-10-10T15:27:12Z
v0.5.0rc2,2011-11-04T15:35:59Z
v0.5.0rc3,2011-11-07T17:11:35Z
v0.5.0rc4,2011-11-15T14:47:45Z
v0.5.0rc5,2011-11-16T00:09:38Z
v0.5.0rc6,2011-11-18T17:11:33Z
v0.5.0rc7,2011-11-20T17:56:33Z
v0.5.0,2011-11-21T16:21:17Z
v0.5.1rc1,2011-12-13T00:03:56Z
